Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 25.63      0.71     0.71   298392     2.38     2.38  rtcReadGame(gzFile_s*)
 18.41      1.22     0.51   298392     1.71     4.09  mode2RenderLine()
 16.61      1.68     0.46   472938     0.97     2.31  thumbExecute()
  2.89      1.76     0.08    25314     3.16     4.35  mode0RenderLine()
  2.89      1.84     0.08                             CPULoop(int)
  2.17      1.90     0.06  2276075     0.03     0.03  thumbBC(unsigned int)
  2.17      1.96     0.06    66857     0.90     1.95  armExecute()
  1.81      2.01     0.05  4137608     0.01     0.01  thumb88(unsigned int)
  1.26      2.05     0.04   928514     0.04     0.04  thumb48(unsigned int)
  1.08      2.08     0.03  3799234     0.01     0.01  thumb68(unsigned int)
  1.08      2.11     0.03  2367827     0.01     0.01  thumb80(unsigned int)
  1.08      2.14     0.03   686108     0.04     0.05  arm250(unsigned int)
  1.08      2.17     0.03    24800     1.21     1.21  flashDelayedWrite(unsigned int, unsigned char)
  1.08      2.20     0.03    21829     1.37     1.37  Gb_Noise::run(int, int)
  0.90      2.22     0.03  1525557     0.02     0.02  thumbF8(unsigned int)
  0.72      2.24     0.02  2129295     0.01     0.01  thumb46_1(unsigned int)
  0.72      2.26     0.02  1983206     0.01     0.01  thumb47(unsigned int)
  0.72      2.28     0.02  1314730     0.02     0.02  thumbB5(unsigned int)
  0.72      2.30     0.02     4042     4.95     4.95  doDMA(unsigned int&, unsigned int&, unsigned int, unsigned int, unsigned int, int)
  0.54      2.32     0.02   455045     0.03     0.03  thumb2B(unsigned int)
  0.36      2.33     0.01  4049862     0.00     0.00  thumb1C_0(unsigned int)
  0.36      2.34     0.01  3684802     0.00     0.00  codeTicksAccessSeq32(unsigned int)
  0.36      2.35     0.01  3549226     0.00     0.00  CPUReadMemory(unsigned int)
  0.36      2.36     0.01  3029866     0.00     0.00  thumb5E(unsigned int)
  0.36      2.37     0.01  2199003     0.00     0.00  thumb28(unsigned int)
  0.36      2.38     0.01  2094564     0.00     0.00  arm009(unsigned int)
  0.36      2.39     0.01  1967546     0.01     0.01  thumbD0(unsigned int)
  0.36      2.40     0.01  1940093     0.01     0.01  arm3C0(unsigned int)
  0.36      2.41     0.01  1109046     0.01     0.01  thumb00_02(unsigned int)
  0.36      2.42     0.01  1066603     0.01     0.01  soundEvent(unsigned int, unsigned short)
  0.36      2.43     0.01   911414     0.01     0.01  thumb21(unsigned int)
  0.36      2.44     0.01   898641     0.01     0.01  thumb20(unsigned int)
  0.36      2.45     0.01   738942     0.01     0.01  thumb00_10(unsigned int)
  0.36      2.46     0.01   714040     0.01     0.02  arm290(unsigned int)
  0.36      2.47     0.01   575139     0.02     0.02  thumb98(unsigned int)
  0.36      2.48     0.01   486893     0.02     0.02  CPUUpdateRegister(unsigned int, unsigned short)
  0.36      2.49     0.01   479329     0.02     0.02  thumbDD(unsigned int)
  0.36      2.50     0.01   464272     0.02     0.02  thumbE0(unsigned int)
  0.36      2.51     0.01   404026     0.02     0.02  thumb1C_1(unsigned int)
  0.36      2.52     0.01   376624     0.03     0.03  thumbC0(unsigned int)
