Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 24.60      0.76     0.76   353364     0.00     0.00  rtcReadGame(gzFile_s*)
 18.12      1.32     0.56   600221     0.00     0.00  thumbExecute()
 15.86      1.81     0.49   353364     0.00     0.00  mode2RenderLine()
  4.21      1.94     0.13                             CPULoop(int)
  2.75      2.03     0.09  4905596     0.00     0.00  thumb88(unsigned int)
  2.43      2.10     0.08  2697827     0.00     0.00  thumbBC(unsigned int)
  2.27      2.17     0.07    25314     0.00     0.00  mode0RenderLine()
  1.94      2.23     0.06  4506216     0.00     0.00  thumb68(unsigned int)
  1.62      2.28     0.05    83380     0.00     0.00  armExecute()
  1.62      2.33     0.05    25653     0.00     0.00  Gb_Noise::run(int, int)
  1.46      2.38     0.05  2804877     0.00     0.00  thumb80(unsigned int)
  1.29      2.42     0.04  1558405     0.00     0.00  thumbB5(unsigned int)
  1.29      2.46     0.04    24800     0.00     0.00  flashDelayedWrite(unsigned int, unsigned char)
  0.81      2.48     0.03  1925853     0.00     0.00  thumb5A(unsigned int)
  0.65      2.50     0.02  4793133     0.00     0.00  thumb1C_0(unsigned int)
  0.65      2.52     0.02  2519732     0.00     0.00  thumb46_1(unsigned int)
  0.65      2.54     0.02  2351253     0.00     0.00  thumb47(unsigned int)
  0.65      2.56     0.02   943928     0.00     0.00  thumb5E(unsigned int)
  0.65      2.58     0.02   438315     0.00     0.00  CPUCheckDMA(int, int)
  0.65      2.60     0.02                             arm270(unsigned int)
  0.49      2.62     0.02  4214266     0.00     0.00  CPUReadMemory(unsigned int)
  0.49      2.63     0.02  2603001     0.00     0.00  thumb28(unsigned int)
  0.49      2.65     0.02  2334331     0.00     0.00  thumb40_0(unsigned int)
  0.49      2.66     0.02  1101590     0.00     0.00  thumb48(unsigned int)
  0.49      2.68     0.02   944894     0.00     0.00  thumb46_2(unsigned int)
  0.49      2.69     0.02   686721     0.00     0.00  thumb23(unsigned int)
  0.49      2.71     0.02   528978     0.00     0.00  thumb24(unsigned int)
  0.49      2.72     0.02   215153     0.00     0.00  thumb08_10(unsigned int)
  0.49      2.74     0.02   119602     0.00     0.00  thumb18_3(unsigned int)
  0.32      2.75     0.01  2722370     0.00     0.00  CPUWriteMemory(unsigned int, unsigned int)
  0.32      2.76     0.01  2339684     0.00     0.00  thumbD0(unsigned int)
  0.32      2.77     0.01  1370627     0.00     0.00  arm080(unsigned int)
  0.32      2.78     0.01  1248079     0.00     0.00  soundEvent(unsigned int, unsigned short)
  0.32      2.79     0.01  1118631     0.00     0.00  thumbF4(unsigned int)
  0.32      2.80     0.01   842537     0.00     0.00  CPUReadByte(unsigned int)
  0.32      2.81     0.01   682061     0.00     0.00  thumb98(unsigned int)
  0.32      2.82     0.01   637623     0.00     0.00  arm040(unsigned int)
  0.32      2.83     0.01   637528     0.00     0.00  arm1FD(unsigned int)
  0.32      2.84     0.01   569717     0.00     0.00  thumbDD(unsigned int)
  0.32      2.85     0.01   554474     0.00     0.00  thumbDC(unsigned int)
  0.32      2.86     0.01   550877     0.00     0.00  thumbE0(unsigned int)
  0.32      2.87     0.01   479164     0.00     0.00  thumb1C_1(unsigned int)
  0.32      2.88     0.01   469567     0.00     0.00  thumbB0(unsigned int)
  0.32      2.89     0.01   400588     0.00     0.00  thumb31(unsigned int)
  0.32      2.90     0.01   332517     0.00     0.00  thumb42_1(unsigned int)
  0.32      2.91     0.01   285704     0.00     0.00  thumb00_01(unsigned int)
  0.32      2.92     0.01   245206     0.00     0.00  thumbC8(unsigned int)
  0.32      2.93     0.01    81506     0.00     0.00  thumb43_1(unsigned int)
  0.32      2.94     0.01     4730     0.00     0.00  doDMA(unsigned int&, unsigned int&, unsigned int, unsigned int, unsigned int, int)
  0.32      2.95     0.01        2     5.00     5.00  systemOnSoundShutdown()
  0.32      2.96     0.01                             utilGBAFindSave(int)
  0.32      2.97     0.01                             arm0DF(unsigned int)
  0.32      2.98     0.01                             arm360(unsigned int)
  0.32      2.99     0.01                             arm5B0(unsigned int)
  0.16      2.99     0.01  1808762     0.00     0.00  thumbF8(unsigned int)
  0.16      3.00     0.01  1081617     0.00     0.00  thumb21(unsigned int)
  0.16      3.00     0.01   876249     0.00     0.00  thumb00_10(unsigned int)
  0.16      3.01     0.01   778266     0.00     0.00  thumb22(unsigned int)
  0.16      3.01     0.01   539348     0.00     0.00  thumb2B(unsigned int)
  0.16      3.02     0.01   391001     0.00     0.00  thumb2C(unsigned int)
  0.16      3.02     0.01   310320     0.00     0.00  thumbDB(unsigned int)
  0.16      3.03     0.01   252733     0.00     0.00  thumb08_0E(unsigned int)
  0.16      3.03     0.01   146512     0.00     0.00  thumb18_4(unsigned int)
  0.16      3.04     0.01   139893     0.00     0.00  thumb37(unsigned int)
  0.16      3.04     0.01    55213     0.00     0.00  thumb38(unsigned int)
  0.16      3.05     0.01    18900     0.00     0.00  CPUSwitchMode(int, bool, bool)
  0.16      3.05     0.01    12469     0.00     0.00  thumb27(unsigned int)
  0.16      3.06     0.01    10990     0.00     0.00  thumb3F(unsigned int)
  0.16      3.06     0.01     9451     0.00     0.00  CPUUpdateFlags()
  0.16      3.07     0.01      148     0.03     0.03  thumb58(unsigned int)
  0.16      3.07     0.01                             thumb00_0F(unsigned int)
  0.16      3.08     0.01                             thumb08_0D(unsigned int)
  0.16      3.08     0.01                             thumb08_0F(unsigned int)
  0.16      3.09     0.01                             thumbUnknownInsn(unsigned int)
  0.16      3.09     0.01                             thumb50(unsigned int)
  0.00      3.09     0.00  4586877     0.00     0.00  codeTicksAccessSeq32(unsigned int)
  0.00      3.09     0.00  2590626     0.00     0.00  arm009(unsigned int)
  0.00      3.09     0.00  2402208     0.00     0.00  arm3C0(unsigned int)
  0.00      3.09     0.00  2304579     0.00     0.00  thumbD1(unsigned int)
  0.00      3.09     0.00  1764492     0.00     0.00  arm086(unsigned int)
  0.00      3.09     0.00  1508678     0.00     0.00  rtcIsEnabled()
  0.00      3.09     0.00  1315572     0.00     0.00  thumb00_02(unsigned int)
  0.00      3.09     0.00  1147741     0.00     0.00  thumb43_0(unsigned int)
  0.00      3.09     0.00  1113757     0.00     0.00  thumb18_1(unsigned int)
  0.00      3.09     0.00  1084048     0.00     0.00  armA00(unsigned int)
  0.00      3.09     0.00  1070607     0.00     0.00  thumb20(unsigned int)
